ID,kode,NAMA ITEM DATA,Provinsi,Kabupaten,Alamat,LATITUDE,LONGITUDE,Jenis Museum,Tipe Museum,Pengelola,Foto,Pulau Jawa,Luar Jawa,Pengunjung
52,52,Museum Batik Indonesia,jakarta,jakarta timur,Taman Mini Indonesia Indah,-6.305445187,106.8969545,Museum Khusus,Belom di standarisasi,Direktorat Jendral Kebudayaan,lihat foto,,,15000
53,53,Museum Betawi,jakarta,Jakarta Selatan,"Jl. Situ Babakan No.47, RT.13/RW.8",-6.338297998,106.8259937,Museum khusus,Belom di standarisasi,Unit Pengelola Kawasan Perkampungan Budaya Betawi,lihat foto,,,14000
54,54,Museum Benteng Heritage,Banten,Tangerang,"Jl.cilame No 20,pasar lama Tangerang ,Banten",-6.177748246,106.6309559,Museum Khusus,Belom di standarisasi,Udaya Halim,lihat foto,,,300
55,55,Museum Multatuli,Banten,kabupaten lebak,Jl.Alun-alun Timur No.8,-6.360434515,106.2473369,Museum Umum,Tipe C,"Dinas Kebudayaan Dan Pariwisata Kabupaten Lebak,UPT Museum Multatuli",lihat foto,,,11000
56,56,Museum Negeri Provinsi Banten,Banten,Kota Serang,Jl. Brigjen KH Samun No. 5,-6.03814023,106.1584456,Museum Umum,Belum Memenuhi Standar,Yayasan Museum Semparaja Bima,lihat foto,,,1000
57,57,Museum Sepeda Pramuka Keliling Dunia,Banten,Kota Serang,"Jl.Raya Serang – Pandeglang Km. 5, Karundang",-6.152840022,106.1605051,Museum Khusus,Tipe C,Yayasan Syariful Ichsan,lihat foto,,,40000
58,58,Museum Situs Kepurbakalaan Banten Lama,Banten,Kota Serang,Jl.Banten lama,-6.0361046,106.1560885,Museum Umum,Tipe C,Yayasan Museum Semparaja Bima,lihat foto,,,17000
59,59,Museum Tari dan Musik Nusantara,Banten,Kota Tangerang Selatan,Jl.Elang Raya No.1,-6.29929,106.733947,Museum Khusus,Belum Memenuhi Standar,Puspo Budoyo,lihat foto,,,17000
60,60,Museum Universitas Pelita Harapan,Banten,Kota Tangerang ,"Jl.Boulevard Diponegoro Blok C,Dua,Kec.Dua",-6.227488953,106.6113522,Museum Khusus,Tipe C,Universitas Pelita Harapan,lihat foto,,,798
61,61,Monumen & Museum PETA,jawa barat,Kota Bogor,"Jl. Jend. Sudirman No.35, RT.01/RW.05, Pabaton",-6.584938616,106.7967471,Museum Khusus,Tipe C,Dinas Sejarah TNI Angkatan Darat,lihat foto,,,800
