fid	Museum_ID	Museum_kod	Museum_NAM	Museum_Pro	Museum_Kab	Museum_Ala	Museum_LAT	Museum_LON	Museum_Jen	Museum_Tip	Museum_Pen	Museum_Fot	Museum_P_1	Museum_Kar
37	"37"	"37"	Museum Polri	jakarta	jakarta selatan	"Jl. Trunojoyo No.3, RT.5/RW.2, Selong, Kec. Kby. Baru"	-6.239298380000000	106.803149700000006	Museum Khusus	Tipe C	Museum Polisi Republik Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\37.jpg	11000.000000000000000	44.000000000000000
38	"38"	"38"	Museum Prangko	jakarta	jakarta timur	"Jl.Taman Mini Indonesia Indah, Jalan Taman Mini Indonesia Indah"	-6.303970814000000	106.902276799999996	Museum Khusus	Tipe C	PT.Pos Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\38.jpg	10000.000000000000000	55.000000000000000
39	"39"	"39"	Museum Prasasti Jakarta	jakarta	kota jakarta Pusat	"Jl. Tanah Abang I No.1, RT.11/RW.8, Petojo Sel., Kecamatan Gambir"	-6.171840101000000	106.817424500000001	Museum Khusus	Tipe C	"Unit Pengelola Museum Seni, Dinas Kebudayaan Provinsi DKI Jakarta"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\39.jpg	32000.000000000000000	44.000000000000000
40	"40"	"40"	Museum Purna Bhakti Pertiwi	jakarta	jakarta timur	Jl. Taman Mini Indonesia Indah	-6.299706257000000	106.889874599999999	Museum Khusus	Tipe C	Yayasan Harapan Kita	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\40.jpg	19000.000000000000000	55.000000000000000
41	"41"	"41"	Museum Pusaka	jakarta	jakarta timur	"Jl. Taman, Mini, Kec. Cipayung, Kota Jakarta Timur3"	-6.305096740000000	106.896663899999993	Museum Khusus	Tipe C	"PT.Taman Wisata Candi Brobudur,Prambanan dan Ratu Boko"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\41.jpg	22000.000000000000000	67.000000000000000
42	"42"	"42"	Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani	jakarta	kota jakarta Pusat	"Jl. Lembang No.67, RT.11/RW.7, Menteng"	-6.203952690000000	106.837993400000002	Museum Khusus	Tipe C	TNI Angkatan Darat (TNI AD)	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\42.jpg	50000.000000000000000	56.000000000000000
43	"43"	"43"	Museum Satriamandala	jakarta	jakarta selatan	"Jl. Gatot Subroto No.14, RT.6/RW.1"	-6.231583289000000	106.820252800000006	Museum Khusus	Belom di standarisasi	Museum Satriamandala	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\43.jpg	3000.000000000000000	4.000000000000000
44	"44"	"44"	Museum Sejarah Jakarta	jakarta	Jakarta Barat	"JL.Taman Fatahillah No.1, Pinangsia"	-6.134474617000000	106.810424699999999	Museum Umum	Tipe A	Dinas Kebudayaan Provinsi DKI Jakarta	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\44.jpg	12000.000000000000000	45.000000000000000
45	"45"	"45"	Museum Seni Rupa dan Keramik	jakarta	Jakarta Barat	"Jl. Pos Kota No.2 9, RT.9/RW.7, Pinangsia"	-6.133449077000000	106.817041099999997	Museum Khusus	Tipe A	Unit Penggelola Museum Seni	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\45.jpg	2000.000000000000000	45.000000000000000
46	"46"	"46"	Museum Sumpah Pemuda	jakarta	kota jakarta Pusat	"Jl. Kramat Raya No.106, RT.2/RW.9, Kwitang"	-6.182814824000000	106.845968900000003	Museum Khusus	Tipe A	"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Republik Indonesia (Kemendikbudristek RI)"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\46.jpg	3000.000000000000000	21.000000000000000
47	"47"	"47"	Museum Tekstil Jakarta	jakarta	Jakarta Barat	"Jl. K.S. Tubun, Kota Bambu Sel., Kec. Palmerah"	-6.187451416000000	106.814800899999994	Museum Khusus	Tipe A	Dinas Kebudayaan Provinsi DKI Jakarta	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\47.jpg	5120.000000000000000	22.000000000000000
48	"48"	"48"	Museum Timor Timur	jakarta	jakarta timur	Jl.Taman Mini Indonesia Indah	-6.303141390000000	106.902058400000001	museum khusus	Tipe C	Pemerintah Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\48.jpg	3120.000000000000000	12.000000000000000
49	"49"	"49"	Museum Tragedi 12 Mei 1998 Universitas Trisakti	jakarta	Kota Jakarta Barat	"Jl.Tomang, Kec. Grogol petamburan"	-6.167999059000000	106.790974899999995	Museum Khusus	Tipe C	"Universitas Trisakti,"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\49.jpg	6000.000000000000000	23.000000000000000
50	"50"	"50"	Museum Transportasi	jakarta	jakarta timur	Jl. Taman Mini I	-6.304101840000000	106.900861899999995	Museum Khusus	Tipe B	Kementrian Perhubungan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\50.jpg	1200.000000000000000	23.000000000000000
51	"51"	"51"	Museum Wayang	jakarta	Jakarta Barat	"Jl.Pintu Besar Utara No.27 Pinangsia, RT.3/RW.6, Kota Tua, Kec. Taman Sari"	-6.134029708000000	106.816788000000003	Museum Khusus	Tipe B	"Unit Pengelola Museum Seni, Dinas"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\51.jpg	400.000000000000000	12.000000000000000
52	"52"	"52"	Museum Batik Indonesia	jakarta	jakarta timur	Taman Mini Indonesia Indah	-6.305445187000000	106.896954500000007	Museum Khusus	Belom di standarisasi	Direktorat Jendral Kebudayaan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\52.jpg	15000.000000000000000	10.000000000000000
53	"53"	"53"	Museum Betawi	jakarta	Jakarta Selatan	"Jl. Situ Babakan No.47, RT.13/RW.8"	-6.338297998000000	106.825993699999998	Museum khusus	Belom di standarisasi	Unit Pengelola Kawasan Perkampungan Budaya Betawi	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\53.jpg	14000.000000000000000	23.000000000000000
54	"54"	"54"	Museum Benteng Heritage	Banten	Tangerang	"Jl.cilame No 20,pasar lama Tangerang ,Banten"	-6.177748246000000	106.630955900000004	Museum Khusus	Belom di standarisasi	Udaya Halim	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\54.jpg	300.000000000000000	54.000000000000000
55	"55"	"55"	Museum Multatuli	Banten	kabupaten lebak	Jl.Alun-alun Timur No.8	-6.360434515000000	106.247336899999993	Museum Umum	Tipe C	"Dinas Kebudayaan Dan Pariwisata Kabupaten Lebak,UPT Museum Multatuli"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\55.jpg	11000.000000000000000	6.000000000000000
56	"56"	"56"	Museum Negeri Provinsi Banten	Banten	Kota Serang	Jl. Brigjen KH Samun No. 5	-6.038140230000000	106.158445599999993	Museum Umum	Belum Memenuhi Standar	Yayasan Museum Semparaja Bima	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\56.jpg	1000.000000000000000	7.000000000000000
57	"57"	"57"	Museum Sepeda Pramuka Keliling Dunia	Banten	Kota Serang	"Jl.Raya Serang – Pandeglang Km. 5, Karundang"	-6.152840022000000	106.160505099999995	Museum Khusus	Tipe C	Yayasan Syariful Ichsan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\57.jpg	40000.000000000000000	15.000000000000000
58	"58"	"58"	Museum Situs Kepurbakalaan Banten Lama	Banten	Kota Serang	Jl.Banten lama	-6.036104600000000	106.156088499999996	Museum Umum	Tipe C	Yayasan Museum Semparaja Bima	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\58.jpg	17000.000000000000000	25.000000000000000
59	"59"	"59"	Museum Tari dan Musik Nusantara	Banten	Kota Tangerang Selatan	Jl.Elang Raya No.1	-6.299290000000000	106.733947000000001	Museum Khusus	Belum Memenuhi Standar	Puspo Budoyo	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\59.jpg	17000.000000000000000	56.000000000000000
60	"60"	"60"	Museum Universitas Pelita Harapan	Banten	Kota Tangerang	"Jl.Boulevard Diponegoro Blok C,Dua,Kec.Dua"	-6.227488953000000	106.611352199999999	Museum Khusus	Tipe C	Universitas Pelita Harapan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\60.jpg	798.000000000000000	45.000000000000000
61	"61"	"61"	Monumen & Museum PETA	jawa barat	Kota Bogor	"Jl. Jend. Sudirman No.35, RT.01/RW.05, Pabaton"	-6.584938616000000	106.796747100000005	Museum Khusus	Tipe C	Dinas Sejarah TNI Angkatan Darat	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\61.jpg	800.000000000000000	34.000000000000000
62	"62"	"62"	Monumen Perjuangan Rakyat Jawa Barat	jawa barat	Kota Bandung	"Jl. Dipati Ukur No.48, Lebakgede"	-6.892921438000000	107.622971600000000	Museum Khusus	Tipe C	Dinas Pariwisata Dan Kebudayaan Provinsi Jawa Barat	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\62.jpg	400.000000000000000	33.000000000000000
63	"63"	"63"	Museum Amerta Dirgantara Mandala Lanud Suryadarma	jawa barat	Subang	"Kawasan Pangkalan TNI Angkatan Udara Suryadarma, Kalijati, Subang, Jawa Barat"	-6.535503153000000	107.667139800000001	Museum Khusus	Tipe C	Dinas Penerangan TNI Angkatan Udara	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\63.jpg	7500.000000000000000	55.000000000000000
64	"64"	"64"	Museum Barli	jawa barat	Kota Bandung	"Jl. Prof. Dr. Sutami No. 91, Sukarasa, Kecamatan Sukasari, Kota Bandung, Jawa Barat 40152"	-6.877436476000000	107.590428399999993	Museum Khusus	Tipe c	Barli Sasmitawinata	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\64.jpg	3000.000000000000000	24.000000000000000
65	"65"	"65"	Museum Bio Farma	jawa barat	Kota Bandung	Jl.Pasteur No.28	-6.899248112000000	107.600149099999996	Museum Khusus	Belom Memenuhi Standar	Corporate Cominications Biofarma	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\65.jpg	12000.000000000000000	45.000000000000000
66	"66"	"66"	Museum Daerah Kabupaten Subang	jawa barat	Subang	Jl. Ade Irma Suryani Nasution No. 2	-6.566952819000000	107.783569900000003	Museum Umum	Tipe C	Pemerintah Daerah Kabupaten Subang melalui Dinas Pendidikan dan Kebudayaan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\66.jpg	1200.000000000000000	34.000000000000000
